Année,Indicateur,Valeur
1961,Consommation d’engrais (kilogrammes par hectare de terres arables),4.204166666666667
1962,Consommation d’engrais (kilogrammes par hectare de terres arables),3.6970238095238095
1963,Consommation d’engrais (kilogrammes par hectare de terres arables),5.4261904761904765
1964,Consommation d’engrais (kilogrammes par hectare de terres arables),6.626785714285714
1965,Consommation d’engrais (kilogrammes par hectare de terres arables),7.019047619047619
1966,Consommation d’engrais (kilogrammes par hectare de terres arables),7.440476190476191
1967,Consommation d’engrais (kilogrammes par hectare de terres arables),8.158235294117647
1968,Consommation d’engrais (kilogrammes par hectare de terres arables),6.884705882352941
1969,Consommation d’engrais (kilogrammes par hectare de terres arables),8.144117647058824
1970,Consommation d’engrais (kilogrammes par hectare de terres arables),12.043529411764705
1971,Consommation d’engrais (kilogrammes par hectare de terres arables),13.923529411764706
1972,Consommation d’engrais (kilogrammes par hectare de terres arables),17.950877192982457
1973,Consommation d’engrais (kilogrammes par hectare de terres arables),17.145402298850573
1974,Consommation d’engrais (kilogrammes par hectare de terres arables),17.39267605633803
1975,Consommation d’engrais (kilogrammes par hectare de terres arables),20.771349862258955
1976,Consommation d’engrais (kilogrammes par hectare de terres arables),20.27173913043478
1977,Consommation d’engrais (kilogrammes par hectare de terres arables),25.425531914893618
1978,Consommation d’engrais (kilogrammes par hectare de terres arables),21.465968586387433
1979,Consommation d’engrais (kilogrammes par hectare de terres arables),26.11220779220779
1980,Consommation d’engrais (kilogrammes par hectare de terres arables),27.161125319693095
1981,Consommation d’engrais (kilogrammes par hectare de terres arables),24.923857868020306
1982,Consommation d’engrais (kilogrammes par hectare de terres arables),19.698492462311556
1983,Consommation d’engrais (kilogrammes par hectare de terres arables),18.534906588003935
1984,Consommation d’engrais (kilogrammes par hectare de terres arables),18.035636679704478
1985,Consommation d’engrais (kilogrammes par hectare de terres arables),17.436974789915965
1986,Consommation d’engrais (kilogrammes par hectare de terres arables),12.605042016806722
1987,Consommation d’engrais (kilogrammes par hectare de terres arables),9.125
1988,Consommation d’engrais (kilogrammes par hectare de terres arables),11.363636363636363
1989,Consommation d’engrais (kilogrammes par hectare de terres arables),14.462809917355372
1990,Consommation d’engrais (kilogrammes par hectare de terres arables),15.22633744855967
1991,Consommation d’engrais (kilogrammes par hectare de terres arables),15.795918367346939
1992,Consommation d’engrais (kilogrammes par hectare de terres arables),14.23076923076923
