ANNEE,LIEU,STATUT,VALEUR
2007,VILLES DE L'INTERIEUR,ACCIDENTS,870
2007,VILLES DE L'INTERIEUR,TUES,73
2007,VILLES DE L'INTERIEUR,BLESSES GRAVES,685
2007,VILLES DE L'INTERIEUR,BLESSES LEGERS,840
2007,VILLES DE L'INTERIEUR,TAUX DE GRAVITE (%),8.39
2007,VILLES D'ABIDJAN,ACCIDENTS,4612
2007,VILLES D'ABIDJAN,TUES,106
2007,VILLES D'ABIDJAN,BLESSES GRAVES,1931
2007,VILLES D'ABIDJAN,BLESSES LEGERS,4599
2007,VILLES D'ABIDJAN,TAUX DE GRAVITE (%),2.3
2007,RASE CAMPAGNE,ACCIDENTS,370
2007,RASE CAMPAGNE,TUES,150
2007,RASE CAMPAGNE,BLESSES GRAVES,480
2007,RASE CAMPAGNE,BLESSES LEGERS,975
2007,RASE CAMPAGNE,TAUX DE GRAVITE (%),40.54
2008,VILLES DE L'INTERIEUR,ACCIDENTS,1310
2008,VILLES DE L'INTERIEUR,TUES,103
2008,VILLES DE L'INTERIEUR,BLESSES GRAVES,1161
2008,VILLES DE L'INTERIEUR,BLESSES LEGERS,1170
2008,VILLES DE L'INTERIEUR,TAUX DE GRAVITE (%),7.86
2008,VILLES D'ABIDJAN,ACCIDENTS,4961
2008,VILLES D'ABIDJAN,TUES,106
2008,VILLES D'ABIDJAN,BLESSES GRAVES,2090
2008,VILLES D'ABIDJAN,BLESSES LEGERS,5075
2008,VILLES D'ABIDJAN,TAUX DE GRAVITE (%),2.14
2008,RASE CAMPAGNE,ACCIDENTS,1925
2008,RASE CAMPAGNE,TUES,373
2008,RASE CAMPAGNE,BLESSES GRAVES,1890
2008,RASE CAMPAGNE,BLESSES LEGERS,4873
2008,RASE CAMPAGNE,TAUX DE GRAVITE (%),19.38
2009,VILLES DE L'INTERIEUR,ACCIDENTS,1470
2009,VILLES DE L'INTERIEUR,TUES,98
2009,VILLES DE L'INTERIEUR,BLESSES GRAVES,661
2009,VILLES DE L'INTERIEUR,BLESSES LEGERS,1618
2009,VILLES DE L'INTERIEUR,TAUX DE GRAVITE (%),6.67
2009,VILLES D'ABIDJAN,ACCIDENTS,5120
2009,VILLES D'ABIDJAN,TUES,135
2009,VILLES D'ABIDJAN,BLESSES GRAVES,1844
2009,VILLES D'ABIDJAN,BLESSES LEGERS,5432
2009,VILLES D'ABIDJAN,TAUX DE GRAVITE (%),2.64
2009,RASE CAMPAGNE,ACCIDENTS,1808
2009,RASE CAMPAGNE,TUES,466
2009,RASE CAMPAGNE,BLESSES GRAVES,6228
2009,RASE CAMPAGNE,BLESSES LEGERS,8002
2009,RASE CAMPAGNE,TAUX DE GRAVITE (%),25.77
