Année,Catégorie,Effectif
2000,Accidents de la route,6540
2001,Accidents de la route,5440
2002,Accidents de la route,5972
2003,Accidents de la route,5965
2004,Accidents de la route,5560
2005,Accidents de la route,5718
2006,Accidents de la route,6084
2007,Accidents de la route,5852
2008,Accidents de la route,8196
2009,Accidents de la route,8398
2010,Accidents de la route,5564
2011,Accidents de la route,4007
2012,Accidents de la route,7375
2013,Accidents de la route,10365
2014,Accidents de la route,8262
2015,Accidents de la route,10632
2016,Accidents de la route,10718
2017,Accidents de la route,12061
2018,Accidents de la route,12553
2019,Accidents de la route,12862
2020,Accidents de la route,12874
2021,Accidents de la route,14234
2022,Accidents de la route,10744
2023,Accidents de la route,13310
2024,Accidents de la route,13428
