Année,Catégorie,Genre,Effectif,Pourcentage
2011,Effectif de Policiers ,Homme,14946,"88,83%"
2015,Effectif de Policiers ,Homme,15448,"87,46%"
2019,Effectif de Policiers ,Homme,15557,"86,62%"
2020,Effectif de Policiers ,Homme,16562,"86,66%"
2020,Officiers Généraux,Homme,6,"85,71%"
2020,Commissaires,Homme,,"89,10%"
2020,Officiers,Homme,,"83,61%"
2020,Sous-Officiers,Homme,,"87,06%"
2011,Effectif de Policiers ,Femme,1880,"11,17%"
2015,Effectif de Policiers ,Femme,2214,"12,54%"
2019,Effectif de Policiers ,Femme,2403,"13,38%"
2020,Effectif de Policiers ,Femme,2550,"13,34%"
2020,Officiers Généraux,Femme,1,"14,29%"
2020,Commissaires,Femme,,"10,90%"
2020,Officiers,Femme,,"16,39%"
2020,Sous-Officiers,Femme,,"12,90%"
